pokemon,move_pokemon,method_move,level_move,region
1,14,4,0,
1,15,4,0,
1,22,1,13,
1,33,1,1,1
1,34,4,0,
1,36,4,0,
1,38,4,0,
1,45,1,1,2
1,72,4,0,
1,73,1,7,
1,74,1,34,
1,75,1,27,
1,76,1,48,
1,76,4,0,
1,77,1,20,
1,79,1,41,
1,92,4,0,
1,99,4,0,
1,102,4,0,
1,104,4,0,
1,115,4,0,
1,117,4,0,
1,156,4,0,
1,164,4,0,
1,13,2,0,
1,29,4,0,
1,80,2,0,
1,111,4,0,
1,113,2,0,
1,130,2,0,
1,148,4,0,
1,173,4,0,
1,174,4,0,
1,182,4,0,
1,189,4,0,
1,202,4,0,
1,203,4,0,
1,204,2,0,
1,207,4,0,
1,210,4,0,
1,213,4,0,
1,214,4,0,
1,216,4,0,
1,218,4,0,
1,219,2,0,
1,230,1,25,
1,230,4,0,
1,235,1,39,
1,237,4,0,
1,241,4,0,
1,70,4,0,
1,174,2,0,
1,188,4,0,
1,249,4,0,
1,263,4,0,
1,290,4,0,
1,320,2,0,
1,331,4,0,
1,345,2,0,
1,14,3,0,
1,34,3,0,
1,38,3,0,
1,102,3,0,
1,111,3,0,
1,164,3,0,
1,173,3,0,
1,189,3,0,
1,203,3,0,
1,207,3,0,
1,210,3,0,
1,214,3,0,
1,36,1,15,
1,38,1,27,
1,133,2,0,
1,267,2,0,
1,275,2,0,
1,363,4,0,
1,388,1,31,
1,402,1,37,
1,412,4,0,
1,437,2,0,
1,445,4,0,
1,447,4,0,
1,235,3,0,
1,282,3,0,
1,402,3,0,
1,29,3,0,
1,81,3,0,
1,124,2,0,
1,388,3,0,
1,438,2,0,
1,113,4,0,
1,202,2,0,
1,203,2,0,
1,219,4,0,
1,474,4,0,
1,496,4,0,
1,497,4,0,
1,520,3,0,
1,20,3,0,
1,202,3,0,
1,267,4,0,
1,580,2,0,
1,590,4,0,
1,526,4,0,
1,200,4,0,
1,92,2,0,
1,133,4,0,
1,204,4,0,
1,206,4,0,
1,270,4,0,
1,311,4,0,
1,345,4,0,
1,402,4,0,
1,437,4,0,
1,438,4,0,
1,580,4,0,
1,803,3,0,
2,14,4,0,
2,15,4,0,
2,22,1,13,
2,33,1,1,1
2,34,4,0,
2,36,4,0,
2,38,4,0,
2,45,1,1,2
2,72,4,0,
2,73,1,1,3
2,74,1,38,
2,75,1,30,
2,76,1,54,
2,76,4,0,
2,77,1,22,
2,79,1,46,
2,92,4,0,
2,99,4,0,
2,102,4,0,
2,104,4,0,
2,115,4,0,
2,117,4,0,
2,156,4,0,
2,164,4,0,
2,29,4,0,
2,111,4,0,
2,148,4,0,
2,173,4,0,
2,174,4,0,
2,182,4,0,
2,189,4,0,
2,202,4,0,
2,203,4,0,
2,207,4,0,
2,210,4,0,
2,213,4,0,
2,214,4,0,
2,216,4,0,
2,218,4,0,
2,230,1,29,
2,230,4,0,
2,235,1,47,
2,237,4,0,
2,241,4,0,
2,70,4,0,
2,188,4,0,
2,249,4,0,
2,263,4,0,
2,290,4,0,
2,331,4,0,
2,14,3,0,
2,34,3,0,
2,38,3,0,
2,102,3,0,
2,111,3,0,
2,164,3,0,
2,173,3,0,
2,189,3,0,
2,203,3,0,
2,207,3,0,
2,210,3,0,
2,214,3,0,
2,36,1,15,
2,38,1,31,
2,363,4,0,
2,388,1,36,
2,412,4,0,
2,445,4,0,
2,447,4,0,
2,235,3,0,
2,282,3,0,
2,402,3,0,
2,29,3,0,
2,81,3,0,
2,388,3,0,
2,113,4,0,
2,219,4,0,
2,474,4,0,
2,496,4,0,
2,497,4,0,
2,520,3,0,
2,20,3,0,
2,202,3,0,
2,267,4,0,
2,590,4,0,
2,526,4,0,
2,200,4,0,
2,133,4,0,
2,204,4,0,
2,206,4,0,
2,270,4,0,
2,311,4,0,
2,345,4,0,
2,402,1,20,
2,402,4,0,
2,437,4,0,
2,438,4,0,
2,580,4,0,
2,803,3,0,
3,14,4,0,
3,15,4,0,
3,22,1,1,4
3,33,1,1,1
3,34,4,0,
3,36,4,0,
3,38,4,0,
3,45,1,1,2
3,63,4,0,
3,72,4,0,
3,73,1,1,3
3,74,1,43,
3,75,1,30,
3,76,1,65,
3,76,4,0,
3,77,1,22,
3,79,1,55,
3,92,4,0,
3,99,4,0,
3,102,4,0,
3,104,4,0,
3,115,4,0,
3,117,4,0,
3,156,4,0,
3,164,4,0,
3,29,4,0,
3,46,4,0,
3,111,4,0,
3,148,4,0,
3,173,4,0,
3,174,4,0,
3,182,4,0,
3,189,4,0,
3,202,4,0,
3,203,4,0,
3,207,4,0,
3,210,4,0,
3,213,4,0,
3,214,4,0,
3,216,4,0,
3,218,4,0,
3,230,1,29,
3,230,4,0,
3,235,1,53,
3,237,4,0,
3,241,4,0,
3,70,4,0,
3,89,4,0,
3,188,4,0,
3,249,4,0,
3,263,4,0,
3,290,4,0,
3,331,4,0,
3,14,3,0,
3,34,3,0,
3,38,3,0,
3,102,3,0,
3,111,3,0,
3,164,3,0,
3,173,3,0,
3,189,3,0,
3,203,3,0,
3,207,3,0,
3,210,3,0,
3,214,3,0,
3,338,3,0,
3,36,1,15,
3,38,1,31,
3,80,1,32,
3,363,4,0,
3,388,1,39,
3,412,4,0,
3,416,4,0,
3,431,4,0,
3,445,4,0,
3,447,4,0,
3,200,3,0,
3,235,3,0,
3,282,3,0,
3,402,3,0,
3,29,3,0,
3,81,3,0,
3,335,3,0,
3,388,3,0,
3,113,4,0,
3,219,4,0,
3,474,4,0,
3,496,4,0,
3,497,4,0,
3,520,3,0,
3,523,4,0,
3,20,3,0,
3,202,3,0,
3,267,4,0,
3,572,1,50,
3,590,4,0,
3,526,4,0,
3,707,3,0,
3,133,1,1,2
3,200,4,0,
3,438,1,1,3
3,133,4,0,
3,204,4,0,
3,206,4,0,
3,270,4,0,
3,311,4,0,
3,345,4,0,
3,402,1,20,
3,402,4,0,
3,414,4,0,
3,437,4,0,
3,438,4,0,
3,580,4,0,
3,707,4,0,
3,803,3,0,
3,805,3,0,
4,5,4,0,
4,10,1,1,1
4,14,4,0,
4,15,4,0,
4,25,4,0,
4,34,4,0,
4,36,4,0,
4,38,4,0,
4,43,1,15,
4,45,1,1,2
4,52,1,9,
4,53,1,38,
4,66,4,0,
4,68,4,0,
4,69,4,0,
4,70,4,0,
4,82,4,0,
4,83,1,46,
4,91,4,0,
4,92,4,0,
4,99,1,22,
4,99,4,0,
4,102,4,0,
4,104,4,0,
4,115,4,0,
4,117,4,0,
4,126,4,0,
4,129,4,0,
4,130,4,0,
4,156,4,0,
4,163,1,30,
4,164,4,0,
4,7,4,0,
4,29,4,0,
4,44,2,0,
4,82,1,43,
4,108,1,13,
4,111,4,0,
4,157,2,0,
4,173,4,0,
4,174,4,0,
4,182,4,0,
4,184,1,25,
4,187,2,0,
4,189,4,0,
4,200,2,0,
4,203,4,0,
4,207,4,0,
4,210,4,0,
4,213,4,0,
4,214,4,0,
4,216,4,0,
4,218,4,0,
4,223,4,0,
4,225,4,0,
4,231,4,0,
4,237,4,0,
4,241,4,0,
4,246,2,0,
4,249,4,0,
4,251,2,0,
4,53,3,0,
4,14,2,0,
4,53,4,0,
4,263,4,0,
4,264,4,0,
4,280,4,0,
4,290,4,0,
4,315,4,0,
4,332,4,0,
4,337,4,0,
4,349,2,0,
4,5,3,0,
4,7,3,0,
4,14,3,0,
4,25,3,0,
4,34,3,0,
4,38,3,0,
4,68,3,0,
4,69,3,0,
4,102,3,0,
4,111,3,0,
4,129,3,0,
4,157,3,0,
4,164,3,0,
4,173,3,0,
4,189,3,0,
4,203,3,0,
4,207,3,0,
4,210,3,0,
4,214,3,0,
4,223,3,0,
4,232,1,13,
4,157,4,0,
4,232,2,0,
4,242,2,0,
4,261,4,0,
4,317,4,0,
4,363,4,0,
4,374,4,0,
4,394,2,0,
4,407,2,0,
4,421,4,0,
4,424,1,25,
4,445,4,0,
4,9,3,0,
4,257,3,0,
4,29,3,0,
4,68,2,0,
4,264,2,0,
4,406,2,0,
4,468,4,0,
4,481,1,28,
4,488,4,0,
4,496,4,0,
4,497,4,0,
4,510,4,0,
4,517,1,46,
4,519,3,0,
4,200,3,0,
4,231,3,0,
4,314,2,0,
4,590,4,0,
4,612,4,0,
4,264,3,0,
4,406,3,0,
4,526,4,0,
4,9,4,0,
4,154,1,18,
4,200,4,0,
4,406,4,0,
4,17,2,0,
4,83,4,0,
4,184,4,0,
4,206,4,0,
4,225,1,12,
4,242,4,0,
4,251,4,0,
4,257,4,0,
4,270,4,0,
4,311,4,0,
4,349,4,0,
4,394,1,40,
4,394,4,0,
4,424,4,0,
4,512,4,0,
4,525,2,0,
5,5,4,0,
5,10,1,1,1
5,14,4,0,
5,15,4,0,
5,25,4,0,
5,34,4,0,
5,36,4,0,
5,38,4,0,
5,43,1,15,
5,45,1,1,2
5,52,1,1,3
5,53,1,42,
5,66,4,0,
5,68,4,0,
5,69,4,0,
5,70,4,0,
5,82,4,0,
5,83,1,56,
5,91,4,0,
5,92,4,0,
5,99,1,24,
5,99,4,0,
5,102,4,0,
5,104,4,0,
5,115,4,0,
5,117,4,0,
5,126,4,0,
5,129,4,0,
5,130,4,0,
5,156,4,0,
5,163,1,33,
5,164,4,0,
5,7,4,0,
5,29,4,0,
5,82,1,48,
5,108,1,13,
5,111,4,0,
5,173,4,0,
5,174,4,0,
5,182,4,0,
5,184,1,27,
5,189,4,0,
5,203,4,0,
5,207,4,0,
5,210,4,0,
5,213,4,0,
5,214,4,0,
5,216,4,0,
5,218,4,0,
5,223,4,0,
5,225,4,0,
5,231,4,0,
5,237,4,0,
5,241,4,0,
5,249,4,0,
5,53,3,0,
5,53,4,0,
5,263,4,0,
5,264,4,0,
5,280,4,0,
5,290,4,0,
5,315,4,0,
5,332,4,0,
5,337,4,0,
5,5,3,0,
5,7,3,0,
5,14,3,0,
5,25,3,0,
5,34,3,0,
5,38,3,0,
5,68,3,0,
5,69,3,0,
5,102,3,0,
5,111,3,0,
5,129,3,0,
5,157,3,0,
5,164,3,0,
5,173,3,0,
5,189,3,0,
5,203,3,0,
5,207,3,0,
5,210,3,0,
5,214,3,0,
5,223,3,0,
5,232,1,13,
5,157,4,0,
5,261,4,0,
5,317,4,0,
5,363,4,0,
5,374,4,0,
5,421,4,0,
5,424,1,28,
5,445,4,0,
5,9,3,0,
5,257,3,0,
5,29,3,0,
5,468,4,0,
5,481,1,32,
5,488,4,0,
5,496,4,0,
5,497,4,0,
5,510,4,0,
5,517,1,54,
5,519,3,0,
5,200,3,0,
5,231,3,0,
5,590,4,0,
5,612,4,0,
5,264,3,0,
5,406,3,0,
5,526,4,0,
5,9,4,0,
5,154,1,20,
5,200,4,0,
5,406,4,0,
5,83,4,0,
5,184,4,0,
5,206,4,0,
5,225,1,12,
5,242,4,0,
5,251,4,0,
5,257,4,0,
5,270,4,0,
5,311,4,0,
5,349,4,0,
5,394,1,54,
5,394,4,0,
5,424,4,0,
